duration,start_date,start_year,start_month,start_hour,weekday,start_city,end_city,subscription_type
11.4,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
11.4,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
11.42,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
11.45,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
11.47,2013-08-29,2013,08,29,3,Mountain View,Mountain View,Customer
11.47,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
11.5,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
11.5,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
11.52,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
11.55,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Customer
11.55,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
11.57,2013-08-29,2013,08,29,3,San Francisco,San Francisco,Subscriber
